,regop,niter,MAP-cost,Truth-cost,rdm,erel f
0,Identity,1,0.7946188665377769,1.0117231557417978,1.025741748574936,0.5967830889866186
1,Ornstein-Uhlenbeck,1,0.6277023142617492,0.8520522509818524,1.0265892141936124,0.6064566075443758
2,Discrete-Gradient,2,0.6002630783602528,0.7358354242563775,1.0603975167700777,0.5271407160330611
3,Discrete-Laplacian,1,0.5558660048930228,0.8731041842605034,1.0281287459444186,0.5765573051716762
4,Identity,1,0.6565100534808062,1.000509687352245,1.0217262514053231,0.7956176754459553
5,Ornstein-Uhlenbeck,1,0.5420273782546803,0.8400517177670044,1.0047398982469147,0.7775577056288254
6,Discrete-Gradient,1,0.5185617168832707,0.7535973260723525,1.002063273833391,0.7345109875024701
7,Discrete-Laplacian,1,0.5056819036776057,0.8769757669738807,1.0005989197296847,0.7296586139010938
8,Identity,1,1.070224758036781,1.7421484784175207,1.080450082213123,0.6865550348814652
9,Ornstein-Uhlenbeck,1,0.8003533498528093,1.3765865568069722,1.0608472984703874,0.6510624331066402
10,Discrete-Gradient,1,0.6595689876389556,1.0081619855384572,1.0315705351712532,0.5549008905948046
11,Discrete-Laplacian,1,0.7199225327043657,1.951289422442514,1.072801230929745,0.6419350841808433
12,Identity,1,0.6925978317415307,1.7468504717207534,1.037771747691974,0.9043819523987546
13,Ornstein-Uhlenbeck,1,0.5747337998013223,1.372068888740626,1.0204441209701351,0.870909834734162
14,Discrete-Gradient,1,0.5136886511339861,0.981576460207223,1.0099831557549364,0.8291070809799114
15,Discrete-Laplacian,1,0.5256523703138203,1.9472657493678374,1.0112807482166146,0.8670482750400255
16,Identity,1,0.6152811050627667,0.6394795529529709,1.0015377700885155,0.376185376710078
17,Ornstein-Uhlenbeck,1,0.5409697760641107,0.5581378461281855,1.0004797149338984,0.3220990847639687
18,Discrete-Gradient,1,0.5431864523090082,0.557525992304139,1.0012069970567328,0.23802550687028864
19,Discrete-Laplacian,1,0.5197731944760778,0.556091038835091,1.0052003794489854,0.3186630389872165
20,Identity,1,0.5986531983890918,0.6463523686260666,1.0026172771163036,0.5672417865561225
21,Ornstein-Uhlenbeck,1,0.5275846375661518,0.5620253815121847,1.0024816128390714,0.570654429415515
22,Discrete-Gradient,1,0.5240335744792892,0.560308928740727,1.0033944685356662,0.5814579763512004
23,Discrete-Laplacian,1,0.5070811299344283,0.5787340464053012,1.0038380124094273,0.6771395084302322
